Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
0,0,2,0,1,0,0,0,2,1,1,0,0,0,0,-0.335966321
0,0,1,1,1,0,1,0,0,2,1,0,0,0,0,-0.342077748
0,0,0,2,1,0,2,0,0,1,0,0,0,1,0,-0.347371802
0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,-0.218358861
0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,-0.21195133
0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,-0.288660708
0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,-0.235343336
0,0,0,2,1,0,2,1,0,0,0,0,1,0,0,-0.363020717
0,1,0,2,0,0,0,2,1,0,0,1,0,0,0,-0.177264936
0,1,0,2,0,0,1,1,1,0,0,1,0,0,0,-0.234430209
0,0,1,1,1,0,1,0,2,0,0,0,0,0,1,-0.373837652
0,0,1,2,0,0,0,0,2,1,0,0,0,1,0,-0.537473304
0,2,1,0,0,0,0,1,2,0,0,1,0,0,0,-0.022464981
0,0,2,1,0,0,1,0,1,1,0,0,1,0,0,-0.499396216
1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,-0.304391278
0,2,0,1,0,1,1,1,0,0,0,0,0,1,0,-0.064691826
1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,-0.130564622
1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,-0.299425378
2,1,0,0,0,0,2,0,1,0,1,0,0,0,0,-0.310044873
1,0,1,1,0,0,2,1,0,0,0,0,0,1,0,-0.464476169
0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,-0.131866812
0,2,0,1,0,0,1,2,0,0,0,0,0,0,1,-0.085634646
0,1,2,0,0,2,1,0,0,0,0,0,0,1,0,-0.294957259
0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,-0.544842266
0,0,0,2,1,1,0,0,1,1,0,0,0,0,1,-0.401273692
0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,-0.36385038
0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,-0.35783826
1,0,0,1,1,0,0,0,2,1,1,0,0,0,0,-0.368816339
0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,-0.328787968
1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,-0.362850984
1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,-0.390223603
0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,-0.381640768
0,0,1,1,1,2,0,1,0,0,0,1,0,0,0,-0.384571438
0,1,1,0,1,1,0,2,0,0,0,1,0,0,0,-0.259262126
0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,-0.251370492
1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,-0.387112449
1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,-0.399482166
0,0,2,0,1,1,0,1,0,1,0,0,0,1,0,-0.296061507
1,0,2,0,0,1,0,0,1,1,1,0,0,0,0,-0.346766281
2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,-0.410673659
1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,-0.249058584
0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,-0.477702264
0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,-0.398448774
0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,-0.385647052
0,1,0,1,1,0,0,1,2,0,0,0,0,0,1,-0.243465605
0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,-0.195789579
0,1,0,2,0,0,0,1,0,2,0,0,0,0,1,-0.240689306
0,0,1,2,0,0,1,0,2,0,1,0,0,0,0,-0.499269303
0,0,1,2,0,0,0,1,1,1,1,0,0,0,0,-0.483144778
0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,-0.375394513
1,2,0,0,0,0,1,0,1,1,0,1,0,0,0,-0.226421695
0,1,0,1,1,0,2,1,0,0,0,0,0,0,1,-0.274087553
0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,-0.263061133
1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,-0.33175523
1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,-0.263092643
0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,-0.21169463
0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,-0.040434686
1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,-0.245184181
0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,-0.370585403
1,0,0,2,0,0,0,2,0,1,0,1,0,0,0,-0.499047893
0,0,2,0,1,1,0,1,0,1,0,0,0,0,1,-0.365840949
0,0,0,1,2,1,0,2,0,0,0,0,0,0,1,-0.356890451
2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,-0.385732946
1,0,2,0,0,1,0,1,1,0,1,0,0,0,0,-0.377862373
1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,-0.365461462
1,0,1,1,0,0,0,0,1,2,0,0,0,1,0,-0.462594025
0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,-0.517755928
1,0,1,1,0,0,0,0,2,1,0,1,0,0,0,-0.44250397
1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,-0.355648369
0,0,1,2,0,2,0,0,1,0,1,0,0,0,0,-0.505233499
1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,-0.345413457
0,0,0,2,1,1,0,1,0,1,0,0,1,0,0,-0.2770887
1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,-0.404550047
2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,-0.41955774
0,0,2,1,0,1,0,0,1,1,0,0,1,0,0,-0.449760528
0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,-0.28341101
0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,-0.520808307
0,1,1,0,1,0,0,2,1,0,1,0,0,0,0,-0.232674917
0,0,2,1,0,1,0,0,1,1,0,1,0,0,0,-0.500905905
1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,-0.367400389
0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,-0.260001577
1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,-0.35946826
1,0,2,0,0,0,1,1,1,0,1,0,0,0,0,-0.392904647
0,0,0,2,1,2,1,0,0,0,0,0,1,0,0,-0.401104129
1,1,0,1,0,0,2,0,1,0,0,0,0,0,1,-0.355650603
2,1,0,0,0,0,2,1,0,0,1,0,0,0,0,-0.3128265
0,2,0,0,1,1,0,1,1,0,0,0,0,0,1,-0.179745903
1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,-0.40394727
1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,-0.351251689
1,1,0,1,0,0,2,0,0,1,0,0,0,1,0,-0.254402123
0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0.010298805
0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,-0.118987976
1,0,1,1,0,1,0,0,0,2,0,0,0,0,1,-0.431629533
1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,-0.289999933
1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,-0.392555627
3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-0.426923028
1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,-0.395732586
1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,-0.368448034
0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,-0.205887108
1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,-0.343240615
0,0,2,0,1,3,0,0,0,0,0,0,1,0,0,-0.342860185
0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,-0.271545191
0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,-0.250880518
1,1,0,1,0,0,0,1,0,2,1,0,0,0,0,-0.281383928
0,0,1,0,2,0,1,0,1,1,0,0,1,0,0,-0.365657167
1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,-0.249808949
0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,-0.383811684
0,2,1,0,0,0,0,0,2,1,0,0,1,0,0,-0.066066635
1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,-0.348955641
1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,-0.361636261
0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,-0.274474947
0,2,0,0,1,0,1,2,0,0,1,0,0,0,0,-0.112476251
1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,-0.123610977
0,0,2,0,1,1,2,0,0,0,0,0,1,0,0,-0.389046927
1,0,1,1,0,0,2,0,0,1,0,0,1,0,0,-0.414176816
0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,-0.27444814
0,2,1,0,0,0,1,1,1,0,0,1,0,0,0,-0.177743782
1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,-0.380032974
0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,-0.360771192
