Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
1,0,0,0,0,2,2,2,0,0,0,2,0,0,1,-1.706517744
0,0,1,0,0,2,3,0,1,0,0,1,0,1,1,-1.542312507
1,0,0,0,0,2,3,0,1,0,0,1,1,0,1,-1.659686755
0,0,1,0,0,2,1,1,0,2,1,0,0,0,2,-1.281666228
0,0,0,0,1,1,1,3,1,0,0,0,0,1,2,-1.363779898
0,0,1,0,0,1,0,2,1,2,1,1,0,1,0,-1.373791123
0,0,1,0,0,2,1,1,0,2,0,2,0,1,0,-1.317863384
1,0,0,0,0,1,1,3,1,0,2,1,0,0,0,-1.544646278
0,0,0,1,0,2,1,1,0,2,1,1,0,0,1,-1.025940456
1,0,0,0,0,1,0,2,1,2,0,1,0,0,2,-1.680622009
0,0,0,0,1,1,1,3,1,0,0,2,0,0,1,-1.396371196
0,0,0,0,1,2,2,1,1,0,1,0,1,1,0,-1.3155251
1,0,0,0,0,1,2,0,2,1,1,0,1,1,0,-1.659569988
0,0,1,0,0,1,2,0,2,1,0,0,2,1,0,-1.536607019
1,0,0,0,0,1,2,1,1,1,0,0,2,0,1,-1.626963466
0,1,0,0,0,2,2,1,1,0,0,1,2,0,0,-0.510691005
0,0,1,0,0,1,1,1,1,2,1,0,0,0,2,-1.122359159
1,0,0,0,0,0,2,2,0,2,0,1,0,0,2,-1.397093451
0,0,0,0,1,1,1,3,1,0,0,0,1,0,2,-1.054207779
0,0,1,0,0,1,1,1,1,2,0,2,1,0,0,-1.160079135
0,0,0,0,1,1,1,3,1,0,1,1,0,0,1,-1.061744894
0,0,0,0,1,1,2,1,2,0,0,0,2,0,1,-1.33266421
0,1,0,0,0,1,1,1,2,1,0,1,0,0,2,-0.456027759
0,1,0,0,0,1,1,1,2,1,1,0,2,0,0,-0.561628385
1,0,0,0,0,0,3,0,2,1,2,0,0,0,1,-1.624914989
1,0,0,0,0,2,3,1,0,0,1,0,0,1,1,-1.639763538
1,0,0,0,0,2,3,1,0,0,1,0,1,1,0,-1.5157829
0,0,1,0,0,2,3,1,0,0,0,1,0,0,2,-1.395760507
0,1,0,0,0,2,3,1,0,0,0,0,0,1,2,-0.558686686
0,0,1,0,0,2,3,1,0,0,0,1,1,1,0,-1.386103511
1,0,0,0,0,2,2,2,0,0,0,1,0,2,0,-1.636647305
0,1,0,0,0,2,3,1,0,0,0,0,0,2,1,-0.587997451
1,0,0,0,0,1,1,1,1,2,1,0,2,0,0,-1.51441689
0,0,0,0,1,1,1,0,2,2,1,1,1,0,0,-1.339472175
0,0,0,1,0,2,0,1,1,2,0,1,1,0,1,-1.175647854
0,0,0,0,1,2,0,1,1,2,1,1,1,0,0,-1.329528074
0,0,1,0,0,1,1,0,2,2,0,0,2,0,1,-1.537087736
1,0,0,0,0,1,1,0,2,2,2,1,0,0,0,-1.610497605
0,0,0,0,1,1,1,1,1,2,1,1,0,0,1,-1.40025036
1,0,0,0,0,1,1,3,0,1,0,2,0,1,0,-1.571304961
0,0,0,0,1,2,2,2,0,0,0,2,0,0,1,-1.358723548
0,0,1,0,0,3,1,1,0,1,0,0,0,2,1,-1.328643721
1,0,0,0,0,2,2,2,0,0,0,1,0,2,0,-1.535326536
0,0,1,0,0,2,2,2,0,0,0,1,1,1,0,-1.380849574
0,1,0,0,0,1,1,3,0,1,0,0,1,1,1,-0.549501869
1,0,0,0,0,1,1,3,0,1,0,2,0,1,0,-1.613371419
1,0,0,0,0,0,1,1,1,3,1,2,0,0,0,-1.619147592
0,0,0,0,1,2,2,0,1,1,0,1,0,1,1,-1.364033123
1,0,0,0,0,0,1,1,1,3,0,0,1,1,1,-1.534988014
0,0,1,0,0,2,2,0,1,1,1,1,1,0,0,-1.336515826
0,1,0,0,0,2,1,1,0,2,0,2,0,0,1,-0.503632092
0,0,0,0,1,2,2,0,1,1,0,1,0,2,0,-1.250381944
0,1,0,0,0,0,1,1,1,3,0,1,0,2,0,-0.491395076
0,0,0,0,1,2,1,1,0,2,0,1,1,1,0,-1.260864512
1,0,0,0,0,1,1,2,0,2,0,1,2,0,0,-1.479918744
0,0,1,0,0,1,1,1,1,2,0,2,0,1,0,-1.477131074
0,0,0,0,1,2,2,1,1,0,0,1,2,0,0,-1.308462811
0,0,1,0,0,2,2,1,1,0,0,1,1,1,0,-1.440850117
1,0,0,0,0,1,1,1,1,2,1,0,2,0,0,-1.528551778
0,0,0,0,1,2,2,1,1,0,1,1,0,0,1,-1.299563542
1,0,0,0,0,2,2,0,1,1,0,0,2,1,0,-1.555801517
0,0,0,0,1,2,2,0,1,1,2,1,0,0,0,-1.343787024
0,0,0,0,1,2,2,0,1,1,2,1,0,0,0,-1.342409054
1,0,0,0,0,2,1,0,1,2,1,0,1,1,0,-1.592987962
0,1,0,0,0,2,1,0,0,3,0,1,1,0,1,-0.523742158
0,0,0,0,1,2,2,0,1,1,0,0,0,2,1,-1.333846628
1,0,0,0,0,2,1,0,0,3,1,0,0,2,0,-1.542348338
0,0,0,0,1,1,2,0,2,1,1,0,0,1,1,-1.449190386
1,0,0,0,0,1,2,0,2,1,0,0,2,1,0,-1.568709617
