Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
0,0,2,0,1,0,1,1,1,0,1,0,0,0,2,-0.450932271
0,0,0,1,2,0,1,2,0,0,0,1,1,0,1,-0.472363004
0,1,2,0,0,0,1,2,0,0,2,0,0,1,0,-0.32151549
0,2,0,0,1,0,0,2,0,1,1,1,0,0,1,-0.328798448
0,0,2,0,1,1,1,0,0,1,0,2,0,1,0,-0.430019497
1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,-0.514880647
1,0,1,0,1,0,0,1,1,1,1,2,0,0,0,-0.393587592
0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,-0.397426072
0,0,1,2,0,0,0,2,0,1,1,0,1,0,1,-0.513876257
1,1,0,0,1,0,0,1,2,0,0,1,0,2,0,-0.247081603
0,1,1,1,0,1,0,1,0,1,0,0,1,2,0,-0.281167257
0,1,0,1,1,0,0,2,0,1,1,0,0,2,0,-0.207827786
0,0,2,0,1,1,0,1,1,0,0,2,1,0,0,-0.460305665
1,1,0,0,1,1,0,0,0,2,0,2,0,0,1,-0.256916355
1,1,1,0,0,0,1,0,0,2,0,1,1,0,1,-0.228371163
1,0,0,1,1,0,2,0,0,1,0,0,0,2,1,-0.318042358
0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,-0.310948143
0,2,0,0,1,1,0,1,0,1,0,2,0,1,0,-0.129977519
1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,-0.370727111
1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,-0.410429034
1,0,0,0,2,0,1,1,1,0,0,0,1,2,0,-0.289399487
0,1,0,0,2,1,0,0,1,1,0,1,0,2,0,-0.229655445
2,0,1,0,0,0,2,0,0,1,1,0,1,1,0,-0.364878304
0,1,1,0,1,2,0,0,0,1,1,1,1,0,0,-0.235352596
0,2,0,0,1,2,0,0,0,1,0,3,0,0,0,-0.211484098
1,1,1,0,0,1,0,0,0,2,0,1,2,0,0,-0.245683437
2,0,0,0,1,2,1,0,0,0,0,1,0,2,0,-0.338801025
2,1,0,0,0,1,1,1,0,0,1,1,0,1,0,-0.247537509
1,0,0,0,2,2,1,0,0,0,0,2,0,1,0,-0.378880627
2,0,0,0,1,2,0,1,0,0,0,1,1,1,0,-0.352849127
2,1,0,0,0,0,1,1,0,1,0,2,1,0,0,-0.296424788
1,0,1,0,1,0,2,0,1,0,0,1,2,0,0,-0.403890396
0,0,0,2,1,0,1,2,0,0,0,0,2,0,1,-0.30621755
0,1,2,0,0,1,1,0,0,1,1,1,1,0,0,-0.266028146
1,1,0,0,1,0,0,0,2,1,0,2,0,1,0,-0.268845512
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,-0.234510634
